,ts,open,high,low,close,vol
22302,1758228300000,117652.83,117652.84,117632.56,117632.57,7.92941
22303,1758228600000,117632.57,117632.57,117539.65,117547.99,29.88031
22304,1758228900000,117547.98,117564.06,117521.14,117521.14,29.52663
22305,1758229200000,117521.14,117521.14,117418.16,117447.3,25.34521
22306,1758229500000,117447.3,117447.31,117361.34,117373.08,14.55642
22307,1758229800000,117373.08,117380.0,117330.01,117330.02,19.62235
22308,1758230100000,117330.01,117380.91,117304.11,117372.19,19.98182
22309,1758230400000,117372.19,117405.67,117355.01,117355.02,8.94657
22310,1758230700000,117355.02,117437.99,117355.01,117437.98,11.62914
22311,1758231000000,117437.98,117441.51,117424.36,117433.29,9.31802
22312,1758231300000,117433.3,117469.93,117433.29,117440.02,10.25746
22313,1758231600000,117440.01,117440.01,117364.17,117369.98,26.94678
22314,1758231900000,117369.98,117428.56,117369.98,117428.55,8.14747
22315,1758232200000,117428.56,117437.6,117378.27,117378.27,10.04912
22316,1758232500000,117378.28,117378.28,117299.21,117299.21,22.316
22317,1758232800000,117299.21,117301.35,117245.47,117247.66,33.48304
22318,1758233100000,117247.67,117276.82,117246.0,117246.0,12.31938
22319,1758233400000,117246.0,117263.55,117216.06,117216.06,15.53025
22320,1758233700000,117216.07,117278.49,117206.06,117278.49,18.96853
22321,1758234000000,117278.49,117310.02,117278.49,117304.89,24.92795
22322,1758234300000,117304.89,117304.9,117264.47,117267.5,28.62208
22323,1758234600000,117267.49,117267.5,117253.73,117259.27,15.4914
22324,1758234900000,117259.28,117298.93,117259.27,117298.92,13.53845
22325,1758235200000,117298.93,117334.8,117298.92,117305.88,13.48495
22326,1758235500000,117305.89,117305.89,117262.07,117276.57,19.77373
22327,1758235800000,117276.58,117276.58,117096.01,117103.44,47.44269
22328,1758236100000,117103.43,117156.68,117027.34,117061.02,101.93497
22329,1758236400000,117061.02,117061.03,116612.03,116722.94,286.36942
22330,1758236700000,116722.93,116778.98,116687.3,116778.98,48.0728
22331,1758237000000,116779.89,116835.21,116766.94,116778.97,26.20215
22332,1758237300000,116778.97,116778.97,116638.56,116738.88,48.82946
22333,1758237600000,116738.87,116796.57,116738.87,116740.0,33.10456
22334,1758237900000,116740.0,116829.23,116740.0,116829.23,25.0208
22335,1758238200000,116829.22,116920.89,116829.22,116920.88,29.75455
22336,1758238500000,116920.88,116988.91,116920.88,116988.91,17.83286
22337,1758238800000,116988.91,117030.41,116979.85,116984.39,20.09531
22338,1758239100000,116984.39,117137.47,116977.54,117075.21,69.69716
22339,1758239400000,117075.2,117172.21,117039.69,117102.42,30.59977
22340,1758239700000,117102.42,117132.92,117073.52,117073.53,14.53252
22341,1758240000000,117073.53,117151.26,117073.52,117101.85,64.78481
22342,1758240300000,117101.85,117147.57,117079.42,117102.99,11.77269
22343,1758240600000,117103.0,117103.0,117020.0,117069.13,22.62452
22344,1758240900000,117069.13,117329.51,117069.13,117154.03,50.18737
22345,1758241200000,117154.04,117299.22,117154.03,117229.34,35.31076
22346,1758241500000,117229.34,117266.55,117209.6,117229.62,15.46479
22347,1758241800000,117229.62,117280.0,117215.09,117280.0,10.82897
22348,1758242100000,117279.99,117348.85,117279.99,117344.55,16.1774
22349,1758242400000,117344.55,117388.0,117310.04,117387.99,13.82632
22350,1758242700000,117387.99,117426.54,117342.88,117352.82,39.1187
22351,1758243000000,117352.82,117404.74,117333.61,117367.96,25.24469
22352,1758243300000,117367.96,117427.7,117367.12,117424.2,23.52632
22353,1758243600000,117424.21,117459.99,117382.49,117459.98,31.02649
22354,1758243900000,117459.99,117459.99,117312.41,117312.43,34.16011
22355,1758244200000,117312.43,117320.46,117256.94,117269.31,38.34049
22356,1758244500000,117269.31,117354.5,117221.48,117354.49,16.70266
22357,1758244800000,117354.49,117378.55,117299.21,117336.47,19.60467
22358,1758245100000,117336.46,117348.21,117299.21,117337.46,10.53971
22359,1758245400000,117337.47,117388.16,117271.02,117271.02,17.99653
22360,1758245700000,117271.03,117296.52,117241.67,117241.67,15.1038
22361,1758246000000,117241.67,117241.67,117132.16,117132.16,28.62583
22362,1758246300000,117132.16,117157.26,117118.21,117137.87,23.8174
22363,1758246600000,117137.88,117203.97,117137.87,117203.97,14.26932
22364,1758246900000,117203.96,117268.35,117192.75,117241.32,18.48789
22365,1758247200000,117241.32,117285.99,117186.27,117285.98,16.62005
22366,1758247500000,117285.99,117285.99,117174.13,117174.75,27.19944
22367,1758247800000,117174.76,117174.76,117044.13,117051.81,29.61969
22368,1758248100000,117051.81,117131.32,117051.81,117096.2,27.40853
22369,1758248400000,117096.19,117096.2,117049.67,117054.1,47.27933
22370,1758248700000,117054.09,117129.14,117045.07,117110.74,79.3238
22371,1758249000000,117110.75,117131.31,117055.22,117062.57,18.91298
22372,1758249300000,117062.58,117165.78,117062.58,117165.77,12.25948
22373,1758249600000,117165.78,117213.74,117090.18,117090.19,42.84568
22374,1758249900000,117090.19,117192.0,117090.19,117137.87,12.4936
22375,1758250200000,117137.86,117159.93,117100.18,117109.52,72.83318
22376,1758250500000,117109.52,117163.1,117100.19,117112.8,8.72065
22377,1758250800000,117112.81,117165.64,117112.81,117165.63,17.04593
22378,1758251100000,117165.64,117227.07,117165.64,117172.74,15.95949
22379,1758251400000,117172.73,117224.98,117172.73,117208.35,11.50173
22380,1758251700000,117208.36,117237.78,117181.65,117205.38,11.41085
22381,1758252000000,117205.38,117291.01,117205.38,117241.02,17.80622
22382,1758252300000,117241.01,117241.01,117070.82,117083.99,32.96968
22383,1758252600000,117084.0,117099.58,117005.66,117031.9,34.42883
22384,1758252900000,117031.9,117031.91,116940.35,116946.22,23.04794
22385,1758253200000,116946.21,116987.93,116890.98,116953.74,74.12136
22386,1758253500000,116953.74,116954.16,116893.12,116937.46,39.6309
22387,1758253800000,116937.45,116983.03,116871.61,116965.96,37.44168
22388,1758254100000,116965.96,116985.47,116921.81,116977.58,17.96458
22389,1758254400000,116977.58,116977.58,116706.81,116731.99,63.05622
22390,1758254700000,116732.0,116806.5,116719.42,116794.54,50.12063
22391,1758255000000,116794.54,116794.55,116700.02,116775.72,53.61675
22392,1758255300000,116775.73,116887.55,116775.72,116833.51,34.12061
22393,1758255600000,116833.52,116979.86,116822.49,116975.4,23.6748
22394,1758255900000,116975.41,117034.18,116970.84,116996.0,25.91227
22395,1758256200000,116996.0,116996.0,116971.22,116988.95,24.42706
22396,1758256500000,116988.95,117100.0,116988.95,117069.17,25.75931
22397,1758256800000,117069.18,117069.18,116933.8,117001.8,28.13883
22398,1758257100000,117001.81,117022.33,116988.39,116998.2,20.92013
22399,1758257400000,116998.21,116998.21,116945.42,116988.26,15.31694
22400,1758257700000,116988.25,117036.06,116979.86,116990.65,12.34943
22401,1758258000000,116990.65,116990.66,116902.64,116930.49,31.28846
22402,1758258300000,116930.49,116950.37,116915.38,116915.38,11.12898
22403,1758258600000,116915.38,116996.04,116892.8,116980.62,27.95042
22404,1758258900000,116980.63,116998.11,116926.01,116998.1,22.81565
22405,1758259200000,116998.11,117010.0,116910.85,116910.85,25.73457
22406,1758259500000,116910.85,116910.86,116833.85,116849.76,23.20587
22407,1758259800000,116849.76,116875.08,116780.75,116851.5,67.91927
22408,1758260100000,116851.5,116880.0,116823.11,116880.0,22.33114
22409,1758260400000,116880.0,116914.53,116863.77,116868.92,22.47259
22410,1758260700000,116868.92,116903.42,116868.91,116882.66,10.73578
22411,1758261000000,116882.67,116917.85,116882.66,116917.84,14.88754
22412,1758261300000,116917.84,116917.89,116894.82,116894.83,25.84455
22413,1758261600000,116894.83,116894.83,116786.28,116822.06,27.13567
22414,1758261900000,116822.06,116822.06,116789.91,116789.92,11.75137
22415,1758262200000,116789.92,116789.92,116770.62,116783.06,18.83213
22416,1758262500000,116783.07,116863.68,116772.28,116855.36,56.35147
22417,1758262800000,116855.37,116855.37,116756.92,116816.49,14.61539
22418,1758263100000,116816.5,116816.5,116755.69,116792.25,38.62559
22419,1758263400000,116792.25,116801.06,116680.2,116680.2,28.68446
22420,1758263700000,116680.21,116754.73,116633.86,116709.21,43.65688
22421,1758264000000,116709.21,116766.95,116704.67,116745.27,25.19746
22422,1758264300000,116745.27,116783.1,116683.98,116683.99,12.02281
22423,1758264600000,116683.98,116814.63,116668.02,116814.62,25.51316
22424,1758264900000,116814.62,116814.63,116669.75,116669.75,128.16303
22425,1758265200000,116669.76,116829.34,116669.75,116717.55,53.2697
22426,1758265500000,116717.55,116806.21,116665.0,116737.15,45.33055
22427,1758265800000,116737.15,116838.83,116737.14,116797.67,35.33756
22428,1758266100000,116797.67,116859.65,116797.66,116858.28,52.87903
22429,1758266400000,116858.29,116887.66,116849.18,116869.99,21.4872
22430,1758266700000,116869.99,116873.53,116791.53,116865.22,42.68569
22431,1758267000000,116865.22,116865.23,116834.69,116858.19,16.62304
22432,1758267300000,116858.19,116992.81,116858.19,116962.65,60.48939
22433,1758267600000,116962.65,116987.78,116921.97,116970.29,19.47596
22434,1758267900000,116970.29,116970.29,116940.21,116940.22,33.95508
22435,1758268200000,116940.22,116940.22,116914.49,116926.18,23.14352
22436,1758268500000,116926.19,116930.4,116903.75,116909.97,19.13712
22437,1758268800000,116909.98,116926.84,116882.47,116889.64,19.55302
22438,1758269100000,116889.64,117005.63,116889.63,117005.62,26.28744
22439,1758269400000,117005.63,117005.63,116966.81,116987.29,56.72422
22440,1758269700000,116987.3,117090.36,116987.29,117090.35,28.7369
22441,1758270000000,117090.35,117090.36,117055.23,117088.25,26.98948
22442,1758270300000,117088.25,117088.25,117042.84,117084.28,28.37341
22443,1758270600000,117084.28,117084.29,117000.01,117014.09,20.24398
22444,1758270900000,117014.09,117014.1,116992.02,116992.03,17.33678
22445,1758271200000,116992.03,116992.03,116902.9,116936.26,19.61822
22446,1758271500000,116936.26,116936.27,116916.65,116928.94,13.2459
22447,1758271800000,116928.94,116961.93,116919.25,116922.22,20.74283
22448,1758272100000,116922.21,116922.22,116915.88,116915.88,6.00568
22449,1758272400000,116915.88,116935.94,116899.35,116914.06,20.05324
22450,1758272700000,116914.06,116919.48,116869.0,116919.47,19.312
22451,1758273000000,116919.47,116979.86,116919.47,116973.68,13.17992
22452,1758273300000,116973.68,116973.68,116919.47,116919.48,13.80006
22453,1758273600000,116919.48,116919.48,116886.88,116886.89,25.37684
22454,1758273900000,116886.88,116886.89,116780.8,116825.19,33.87367
22455,1758274200000,116825.2,116881.6,116825.19,116881.59,11.22066
22456,1758274500000,116881.6,116881.6,116830.35,116830.36,14.18578
22457,1758274800000,116830.36,116830.36,116712.3,116712.3,16.37699
22458,1758275100000,116712.3,116726.78,116571.95,116637.33,64.92252
22459,1758275400000,116637.33,116637.33,116493.72,116500.9,103.88116
22460,1758275700000,116500.9,116530.05,116488.0,116488.0,25.28972
22461,1758276000000,116488.0,116503.29,116447.59,116447.74,28.12289
22462,1758276300000,116447.75,116498.71,116434.23,116466.97,40.68841
22463,1758276600000,116466.97,116551.54,116466.97,116525.83,20.93935
22464,1758276900000,116525.83,116529.88,116448.25,116448.25,28.95082
22465,1758277200000,116448.25,116520.29,116447.59,116462.46,20.80335
22466,1758277500000,116462.46,116527.17,116462.44,116483.48,16.29301
22467,1758277800000,116483.47,116488.63,116447.59,116478.25,16.0932
22468,1758278100000,116478.25,116536.25,116464.27,116480.72,28.62686
22469,1758278400000,116480.71,116532.96,116479.99,116524.79,21.49689
22470,1758278700000,116524.8,116531.31,116487.02,116504.49,31.73839
22471,1758279000000,116504.49,116523.35,116491.7,116523.35,16.37889
22472,1758279300000,116523.35,116547.99,116503.4,116532.68,19.13342
22473,1758279600000,116532.68,116554.05,116500.0,116546.73,15.64379
22474,1758279900000,116546.72,116546.73,116431.34,116450.49,29.39393
22475,1758280200000,116450.49,116482.19,116429.03,116462.31,36.46901
22476,1758280500000,116462.3,116528.03,116425.48,116425.68,46.98824
22477,1758280800000,116425.68,116425.68,116370.42,116380.01,40.31534
22478,1758281100000,116380.0,116392.61,116364.0,116364.0,19.33245
22479,1758281400000,116364.0,116396.2,116358.37,116396.2,15.5916
